AREA_NAME,POPULATION_2023,ASSAULT_2023,AUTOTHEFT_2023,BIKETHEFT_2023,BREAKENTER_2023,HOMICIDE_2023,ROBBERY_2023,SHOOTING_2023,THEFTFROMMV_2023,THEFTOVER_2023,POPULATION_2023
Beechborough-Greenbrook,7057,82,23,3.0,24,1.0,12.0,5.0,12,7.0,7057
Rockcliffe-Smythe,23453,180,75,12.0,53,,20.0,8.0,93,11.0,23453
Keelesdale-Eglinton West,11969,112,34,2.0,29,1.0,26.0,1.0,23,3.0,11969
Palmerston-Little Italy,14699,77,14,33.0,35,2.0,21.0,2.0,30,8.0,14699
University,7564,127,7,53.0,55,,14.0,,39,11.0,7564
Kensington-Chinatown,21229,482,50,137.0,145,1.0,46.0,5.0,104,29.0,21229
North St.James Town,20492,276,10,41.0,40,,29.0,1.0,56,9.0,20492
Moss Park,22207,627,43,99.0,145,7.0,56.0,3.0,108,25.0,22207
Regent Park,14166,160,12,27.0,40,,20.0,2.0,34,8.0,14166
Cabbagetown-South St.James Town,11968,131,19,31.0,53,,14.0,,50,6.0,11968
South Riverdale,30135,339,81,85.0,97,1.0,44.0,3.0,91,27.0,30135
Blake-Jones,8229,81,7,11.0,34,1.0,11.0,4.0,15,3.0,8229
North Riverdale,12168,80,27,15.0,32,1.0,9.0,2.0,19,2.0,12168
Playter Estates-Danforth,7764,106,32,11.0,25,,18.0,2.0,26,,7764
Danforth,10173,132,25,13.0,23,,21.0,2.0,28,5.0,10173
Greenwood-Coxwell,15400,127,29,16.0,23,1.0,7.0,,36,3.0,15400
Woodbine Corridor,13282,102,32,9.0,25,,7.0,1.0,34,3.0,13282
The Beaches,23097,113,58,25.0,39,1.0,16.0,,49,16.0,23097
East End-Danforth,23011,218,50,27.0,44,2.0,17.0,1.0,64,7.0,23011
Taylor-Massey,16157,144,28,16.0,18,,28.0,1.0,33,3.0,16157
Woodbine-Lumsden,8141,32,16,5.0,12,1.0,,,13,4.0,8141
Danforth East York,17883,102,51,4.0,12,,4.0,,45,4.0,17883
Old East York,9540,63,32,6.0,7,,6.0,2.0,27,1.0,9540
Runnymede-Bloor West Village,10772,58,42,15.0,31,,18.0,1.0,19,6.0,10772
High Park North,24474,187,41,28.0,54,1.0,24.0,,26,4.0,24474
High Park-Swansea,26135,106,54,19.0,52,1.0,9.0,3.0,40,10.0,26135
Roncesvalles,15939,136,28,21.0,48,,21.0,1.0,39,5.0,15939
South Parkdale,23054,324,43,30.0,63,,23.0,,34,21.0,23054
Little Portugal,17399,129,23,17.0,32,,15.0,1.0,45,10.0,17399
Dufferin Grove,12709,148,18,58.0,36,,29.0,1.0,39,8.0,12709
Trinity-Bellwoods,17814,139,28,46.0,73,,25.0,1.0,40,9.0,17814
Don Valley Village,29424,166,161,7.0,45,2.0,30.0,5.0,104,14.0,29424
Pleasant View,16732,52,45,11.0,17,,14.0,,36,5.0,16732
Flemingdon Park,23485,167,39,6.0,24,,13.0,4.0,49,5.0,23485
Victoria Village,18592,146,54,2.0,26,,16.0,4.0,55,11.0,18592
Banbury-Don Mills,31047,132,150,14.0,99,1.0,24.0,4.0,65,14.0,31047
Bridle Path-Sunnybrook-York Mills,10707,48,80,8.0,96,,3.0,,26,8.0,10707
St.Andrew-Windfields,20205,58,136,11.0,90,1.0,15.0,,34,12.0,20205
Bedford Park-Nortown,25583,52,229,7.0,122,,12.0,,71,13.0,25583
Lansing-Westgate,17872,89,113,11.0,58,,24.0,,56,8.0,17872
Willowdale West,19546,115,59,6.0,40,,38.0,,53,11.0,19546
Newtonbrook West,26265,200,214,20.0,52,,30.0,1.0,150,14.0,26265
Westminster-Branson,27742,119,85,5.0,29,,4.0,,69,7.0,27742
Bathurst Manor,17255,88,76,5.0,42,1.0,16.0,,56,4.0,17255
Clanton Park,19089,134,154,9.0,68,,16.0,3.0,72,11.0,19089
Englemount-Lawrence,24465,125,68,9.0,49,,17.0,4.0,54,7.0,24465
Yorkdale-Glen Park,17258,207,199,13.0,154,,74.0,,118,44.0,17258
Brookhaven-Amesbury,18738,166,74,5.0,39,,30.0,,54,9.0,18738
Maple Leaf,10575,50,49,,17,,5.0,1.0,17,1.0,10575
Rustic,10404,89,34,,19,,2.0,3.0,14,2.0,10404
York University Heights,29897,409,263,16.0,218,,106.0,6.0,178,40.0,29897
Glenfield-Jane Heights,32251,327,119,5.0,43,,31.0,14.0,54,27.0,32251
Broadview North,12200,81,17,11.0,22,,3.0,,28,3.0,12200
Leaside-Bennington,18185,38,112,12.0,49,,5.0,,54,9.0,18185
Thorncliffe Park,22508,128,55,10.0,49,,12.0,4.0,33,8.0,22508
O'Connor-Parkview,19901,133,61,8.0,44,1.0,3.0,,38,6.0,19901
Henry Farm,22782,107,67,8.0,25,1.0,13.0,,89,10.0,22782
Bayview Village,25685,137,96,17.0,66,,9.0,2.0,115,18.0,25685
Newtonbrook East,17338,87,75,8.0,36,1.0,20.0,1.0,43,15.0,17338
Bayview Woods-Steeles,13641,60,34,3.0,27,,7.0,,33,1.0,13641
Hillcrest Village,18076,68,73,2.0,40,,13.0,1.0,42,8.0,18076
Alderwood,13503,44,48,2.0,20,,8.0,,16,8.0,13503
Long Branch,11601,96,37,16.0,27,,7.0,,19,2.0,11601
New Toronto,12205,168,38,9.0,38,,16.0,1.0,36,5.0,12205
Stonegate-Queensway,26728,137,148,7.0,101,2.0,18.0,1.0,69,11.0,26728
Kingsway South,10257,65,88,9.0,55,,8.0,,13,6.0,10257
Etobicoke West Mall,12713,66,62,3.0,12,,1.0,2.0,49,5.0,12713
Markland Wood,10741,45,50,1.0,15,,4.0,,23,1.0,10741
Eringate-Centennial-West Deane,19558,90,120,2.0,31,,13.0,,45,3.0,19558
Princess-Rosethorn,12552,25,115,2.0,63,,12.0,2.0,19,5.0,12552
Edenbridge-Humber Valley,17271,53,115,2.0,63,,7.0,1.0,28,5.0,17271
Humber Heights-Westmount,11398,53,25,1.0,13,,6.0,4.0,20,2.0,11398
Willowridge-Martingrove-Richview,24097,123,105,3.0,31,,17.0,4.0,61,3.0,24097
Kingsview Village-The Westway,22759,151,112,1.0,40,,23.0,2.0,101,8.0,22759
Elms-Old Rexdale,9884,61,40,6.0,16,,14.0,,43,4.0,9884
Rexdale-Kipling,10722,76,74,1.0,16,,24.0,1.0,47,4.0,10722
Thistletown-Beaumond Heights,10530,66,48,5.0,23,,13.0,,55,14.0,10530
Mount Olive-Silverstone-Jamestown,35386,297,152,11.0,24,4.0,54.0,16.0,121,11.0,35386
West Humber-Clairville,36388,322,829,10.0,212,2.0,77.0,9.0,315,80.0,36388
Black Creek,23047,231,83,5.0,29,,28.0,7.0,54,13.0,23047
Pelmo Park-Humberlea,12121,104,101,,23,,13.0,3.0,24,6.0,12121
Humbermede,16568,159,122,2.0,29,,14.0,2.0,76,11.0,16568
Humber Summit,13425,165,131,4.0,90,2.0,25.0,6.0,88,42.0,13425
